Title;Siebel Billing Account;Item Type;Path
Infostream Technologies;INFOSTREAM TECHNOLOGIES CC;Item;mea/is/cops/Lists/Clients
INTEGR8 IT;INTEGR8 IT (PTY) LTD;Item;mea/is/cops/Lists/Clients
INTEGR8 IT - NHLS;INTEGR8 IT (PTY) LTD -  NHLS;Item;mea/is/cops/Lists/Clients
Intelligent Thinking;INTELLIGENT THINKING (PTY) LTD;Item;mea/is/cops/Lists/Clients
International Colleges Group - Educor;INTERNATIONAL COLLEGES GROUP T/A EDUCOR;Item;mea/is/cops/Lists/Clients
Internet Solutions;INTERNET SOLUTIONS (PTY) LTD.;Item;mea/is/cops/Lists/Clients
Interstat Agencies;POPTECH TECHNOLOGY SERVICES;Item;mea/is/cops/Lists/Clients
Intertek ;Intertek JHB;Item;mea/is/cops/Lists/Clients
Intralot;INTRALOT SOUTH AFRICA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Investment Data Services;INVESTMENT DATA SERVICES (PTY) LTD;Item;mea/is/cops/Lists/Clients
Ion Access;ION ACCESS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Iserve Infrastructure Solutions;ISERVE INFRASTRUCTURE SOLUTIONS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Island View Storage;ISLAND VIEW STORAGE;Item;mea/is/cops/Lists/Clients
ITX Fashion Retail South Africa;ITX FASHION RETAIL SOUTH AFRICA;Item;mea/is/cops/Lists/Clients
Iwc;INDUSTRIAL WATER COOLING (PTY) LTD;Item;mea/is/cops/Lists/Clients
Jabba Redwood;CLEAR CHANNEL BUSINESS TECHNOLOGY T/A BUSINESS TECHNOLOGY;Item;mea/is/cops/Lists/Clients
Jade E-Services - Zando;JADE E-SERVICES SA (PTY) LTD T/A ZANDO;Item;mea/is/cops/Lists/Clients
Janus IT;JANUS-MAIL.COM T/A  JANUS IT;Item;mea/is/cops/Lists/Clients
JPC;CITY OF JOBURG PROPERTY COMPANY (PTY) LTD;Item;mea/is/cops/Lists/Clients
Junk Mail;JUNK MAIL PUBLISHING (PTY) LTD;Item;mea/is/cops/Lists/Clients
Justin Colyn ;No Wo yet;Item;mea/is/cops/Lists/Clients
Kansai Plascon;KANSAI PLASCON;Item;mea/is/cops/Lists/Clients
Keith HO Racing;KEITH HO RACING;Item;mea/is/cops/Lists/Clients
Kelly Group;KELLY GROUP LIMITED;Item;mea/is/cops/Lists/Clients
Kimberley-Clark;KIMBERLY-CLARK OF SA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Knights College;KNIGHTS COLLEGE INC;Item;mea/is/cops/Lists/Clients
Kolok;KOLOK (PTY) LTD;Item;mea/is/cops/Lists/Clients
Komatsu;KOMATSU;Item;mea/is/cops/Lists/Clients
Landmark Underwriting Agency;LANDMARK UNDERWRITTING AGENCY (PTY) LTD;Item;mea/is/cops/Lists/Clients
Laurelton Diamonds;LAURELTON DIAMONDS SA (PTY) LTD;Item;mea/is/cops/Lists/Clients
LDS Church;THE CHURCH OF JESUS CHRIST OF LATTER SAINTS IN SOUTH AFRICA;Item;mea/is/cops/Lists/Clients
Life Healthcare;LIFE HEALTHCARE GROUP;Item;mea/is/cops/Lists/Clients
Lightstone Risk Management;LIGHTSTONE RISK MANAGEMENT;Item;mea/is/cops/Lists/Clients
Lincoln Electric Company;THE LINCOLN ELECTRIC COMPANY INCORPORATED IN THE STATE OF OHIO;Item;mea/is/cops/Lists/Clients
Lindt & Sprungli;LINDT & SPRUNGLI (SOUTH AFRICA) (PTY) LTD;Item;mea/is/cops/Lists/Clients
Mace Management Services;MACE MANAGEMENT SERVICES (PTY) LTD;Item;mea/is/cops/Lists/Clients
Mad Advertising;MAD ADVERTISING ( PTY) LTD;Item;mea/is/cops/Lists/Clients
Mail & Guardian Media;MAIL & GUARDIAN MEDIA LTD;Item;mea/is/cops/Lists/Clients
Maizey;MAIZEY PTY LTD;Item;mea/is/cops/Lists/Clients
Man Truck and Bus;MAN TRUCK & BUS SA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Marc Group;MARC GROUP LTD;Item;mea/is/cops/Lists/Clients
Market SA;MARKET SA;Item;mea/is/cops/Lists/Clients
Masergy;MASERGY COMMUNICATIONS UK LTD;Item;mea/is/cops/Lists/Clients
Massbuild;MASSBUILD (PTY) LTD T/A BUILDERS WAREHOUSE;Item;mea/is/cops/Lists/Clients
Masstores - Game & Dion Stores;MASSTORES (PTY) LTDT/A GAME &DION STORES;Item;mea/is/cops/Lists/Clients
Masstores - Makro;MASSTORES (PTY) LTD T/A MAKRO SA;Item;mea/is/cops/Lists/Clients
Matus - Brandcorp;MATUS, A DIVISION OF BRANDCORP (PTY) LTD;Item;mea/is/cops/Lists/Clients
Maweza Technologies;MAWEZA TECHNOLOGIES;Item;mea/is/cops/Lists/Clients
Mayibuye Group;MAYIBUYE GROUP;Item;mea/is/cops/Lists/Clients
MBD Credit Solutions;MBD CREDIT SOLUTIONS (PROPRIETARY) LIMITED;Item;mea/is/cops/Lists/Clients
Mcarthy ;MC CARTHY LIMITED;Item;mea/is/cops/Lists/Clients
McCain Foods;MCCAIN FOODS PTY;Item;mea/is/cops/Lists/Clients
Medinexus ;MEDINEXUS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Meditech;MEDITECH;Item;mea/is/cops/Lists/Clients
Mercantile Bank;MERCANTILE BANK LTD;Item;mea/is/cops/Lists/Clients
Merchants SA;MERCHANTS SA (PTY) LTD - CAPE TOWN;Item;mea/is/cops/Lists/Clients
Mercuria;MERCURIA ENERGY TRADING SOUTH AFRICA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Metropolitan Health Corporate;METROPOLITAN HEALTH CORPORATE (PTY) LTD;Item;mea/is/cops/Lists/Clients
Metropolitian Retirement Administrators;MOMENTUM RETIREMENT ADMINISTRATORS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Mgslg;MGSLG;Item;mea/is/cops/Lists/Clients
MICC Property Income Fund;MICC PROPERTY INCOME FUND LIMITED;Item;mea/is/cops/Lists/Clients
Midas Group;MIDAS GROUP (PTY) LTD;Item;mea/is/cops/Lists/Clients
Millners;MILLNERS DENTAL SUPPLIES (CAPE) (PTY) LTD;Item;mea/is/cops/Lists/Clients
Mirabilis Engineering Underwriting Managers;MIRABILIS ENGINEERING UNDERWRITING MANAGERS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Momentum Group;MOMENTUM GROUP LTD;Item;mea/is/cops/Lists/Clients
Momentum Retirement Administrators;MOMENTUM RETIREMENT ADMINISTRATORS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Mondelez South Africa;MONDELEZ SOUTH AFRICA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Mondi;MPACT LIMITED;Item;mea/is/cops/Lists/Clients
Mpact Limited;MPACT LIMITED;Item;mea/is/cops/Lists/Clients
Mr Price;MR PRICE GROUP LTD SYSTEMS DIVISION;Item;mea/is/cops/Lists/Clients
Multimatics;MULTIMATICS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Murray & Roberts;MURRAY & ROBERTS LIMITED;Item;mea/is/cops/Lists/Clients
National Airways Corporation;NATIONAL AIRWAYS CORPORATION;Item;mea/is/cops/Lists/Clients
National Housing Finance;NATIONAL HOUSING FINANCE;Item;mea/is/cops/Lists/Clients
Neotology;NETOLOGY PROPRIETARY LIMITED;Item;mea/is/cops/Lists/Clients
Net Trace;NET TRACE;Item;mea/is/cops/Lists/Clients
Netology;NETOLOGY PROPRIETARY LIMITED;Item;mea/is/cops/Lists/Clients
Newclicks;NEW CLICKS SA (PTY) LTD;Item;mea/is/cops/Lists/Clients
NHFC;NATIONAL HOUSING FINANCE;Item;mea/is/cops/Lists/Clients
NHLS;INTEGR8 IT (PTY) LTD;Item;mea/is/cops/Lists/Clients
Nicola Harris;INTERNET SOLUTIONS (PTY) LTD.;Item;mea/is/cops/Lists/Clients
Nictus;Nictus;Item;mea/is/cops/Lists/Clients
Norton Lambrianos;NORTON LAMBRIANOS (SA) INC;Item;mea/is/cops/Lists/Clients
Notho Investments;NOTHO INVESTMENT;Item;mea/is/cops/Lists/Clients
NTT Apollo Tyres;DIMENSION DATA JAPAN;Item;mea/is/cops/Lists/Clients
NTT Hannover Compass;NTT EUROPE LTD., GERMANY;Item;mea/is/cops/Lists/Clients
NUMETRO CINEMAS;XP TECHNOLOGIES;Item;mea/is/cops/Lists/Clients
Oasis Group Holdings Company;OASIS GROUP HOLDINGS COMPANY L;Item;mea/is/cops/Lists/Clients
Oceana Group Limited;OCEANA  GROUP LIMITED;Item;mea/is/cops/Lists/Clients
Opticlear;OPTICLEAR;Item;mea/is/cops/Lists/Clients
Orion Facilities Management;ORION FACILITIES MANAGEMENT (PTY) LTD;Item;mea/is/cops/Lists/Clients
Parmalat;PARMALAT (PTY) LTD.;Item;mea/is/cops/Lists/Clients
Parson Brinckerhoff Africa;PARSONS BRINCKERHOFF AFRICA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Parsons;PARSON BRINCKERHOFF AFRICA (PTY)LTD;Item;mea/is/cops/Lists/Clients
Pasco Risk Management;PASCO RISK MANAGEMENT;Item;mea/is/cops/Lists/Clients
Pathcare;DIETRICH VOIGT MIA INC  T/A PATHCARE;Item;mea/is/cops/Lists/Clients
PCB Technologies;PCB TECHNOLOGIES CC;Item;mea/is/cops/Lists/Clients
PEP A DIVISION OF PEPKOR RETAIL LTD;PEP A DIVISION OF PEPKOR RETAIL LTD;Item;mea/is/cops/Lists/Clients
Pernod Ricard;PERNOD RICARD SOUTH AFRICA;Item;mea/is/cops/Lists/Clients
Petrol SA;PETROLEUM AGENCY SA;Item;mea/is/cops/Lists/Clients
Philippus De Wit;PHILIPPUS DE WIT (PTY) LTD;Item;mea/is/cops/Lists/Clients
Pick 'n Pay (Retail);PICK N PAY RETAILERS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Pioneer Foods;PIONEER FOODS (PTY) LTD;Item;mea/is/cops/Lists/Clients
P-Net;P-NET (PTY) LTD;Item;mea/is/cops/Lists/Clients
Portapa;INTELLIGENT THINKING (PTY) LTD;Item;mea/is/cops/Lists/Clients
PPS Insurance;PPS INSURANCE COMPANY LTD;Item;mea/is/cops/Lists/Clients
Praesidio Risk Managers;PRAESIDIO RISK MANAGERS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Premier Foods;PREMIER FOODS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Premier Hotels and Resorts;PREMIER HOTELS & RESORTS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Prescient Securities;PRESCIENT SECURITIES(PTY)LTD;Item;mea/is/cops/Lists/Clients
President Hotel;PRESIDENT HOTEL (PTY) LTD;Item;mea/is/cops/Lists/Clients
Prestege Retief Dresner Wijnberg;PRESTEGE RETIEF DRESNER WIJNBERG (PTY) LTD;Item;mea/is/cops/Lists/Clients
Prime Cure Health;PRIME CURE HEALTH (PTY) LTD;Item;mea/is/cops/Lists/Clients
Product Credit Solutions;PRODUCT CREDIT SOLUTIONS;Item;mea/is/cops/Lists/Clients
Promed Computer Services;PROMED COMPUTER SERVICES;Item;mea/is/cops/Lists/Clients
Pure Voice;TO BE ACQUIRED.;Item;mea/is/cops/Lists/Clients
Python;PYTHON SYSTEMS DESIGN (PTY) LTD;Item;mea/is/cops/Lists/Clients
Q Photo;Q PHOTO;Item;mea/is/cops/Lists/Clients
Qorus Software;QORUS SOFTWARE ( PTY) LTD;Item;mea/is/cops/Lists/Clients
Quanticate;QUANTICATE (PTY) LTD;Item;mea/is/cops/Lists/Clients
Quantum Leap IT;QUANTUM LEAP IT CC;Item;mea/is/cops/Lists/Clients
Real People;REAL PEOPLE;Item;mea/is/cops/Lists/Clients
Rectron;RECTRON (PTY) LTD;Item;mea/is/cops/Lists/Clients
Regus Management;REGUS MANAGEMENT GROUP (PTY) LTD;Item;mea/is/cops/Lists/Clients
Rennies Ships Agency;RENNIES SHIPS AGENCY (PTY) LTD;Item;mea/is/cops/Lists/Clients
Renttech South Africa;RENTTECH SOUTH AFRICA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Richards Bay Medical Institute;RICHARDS BAY MEDICAL INSTITUTE (PTY) LTD;Item;mea/is/cops/Lists/Clients
Robor;ROBOR (PTY) LTD.;Item;mea/is/cops/Lists/Clients
Rochester Furnishers (PTY) LTD;ROCHESTER FURNISHERS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Rossouws Attorneys;ROSSOUWS ATTORNEYS;Item;mea/is/cops/Lists/Clients
Route Gaming Solutions;ROUTE GAMING SOLUTIONS (PTY) L;Item;mea/is/cops/Lists/Clients
Royal Bafokeng;DIMENSION DATA (PTY) LTD - CONVERGED COMMUNICATIONS;Item;mea/is/cops/Lists/Clients
Royal Bafokeng - Quinedge;DIMENSION DATA (PTY) LTD - CONVERGED COMMUNICATIONS;Item;mea/is/cops/Lists/Clients
RSA WEB;RSA WEB (PTY) LTD;Item;mea/is/cops/Lists/Clients
RTT;RTT GROUP (PTY) LTD - RTT SOLUTIONS;Item;mea/is/cops/Lists/Clients
S.C. JOHNSON AND SON OF SA;S.C. JOHNSON AND SON OF SA;Item;mea/is/cops/Lists/Clients
SA Breweries;SA BREWERIES - BEER DIVISION;Item;mea/is/cops/Lists/Clients
SA Domain;SA DOMAIN;Item;mea/is/cops/Lists/Clients
