Title;Make;Antenna Type;Model Number;Antenna Size;Directional Gain;Item Type;Path
Radio Waves 2ft 23GHz (Single Polarised);Radio Waves;Single Polarised;23GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 23GHz (Single Polarised);Radio Waves;Single Polarised;23GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 23GHz (Single Polarised);Radio Waves;Single Polarised;23GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 23GHz (Single Polarised);Radio Waves;Single Polarised;23GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 23GHz (Single Polarised);Radio Waves;Single Polarised;23GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 23GHz (Single Polarised);Radio Waves;Single Polarised;23GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 2ft 23GHz (Dual Polarised);Radio Waves;Dual Polarised;23GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 23GHz (Dual Polarised);Radio Waves;Dual Polarised;23GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 23GHz (Dual Polarised);Radio Waves;Dual Polarised;23GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 23GHz (Dual Polarised);Radio Waves;Dual Polarised;23GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 23GHz (Dual Polarised);Radio Waves;Dual Polarised;23GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 23GHz (Dual Polarised);Radio Waves;Dual Polarised;23GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 2ft 26GHz (Single Polarised);Radio Waves;Single Polarised;26GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 26GHz (Single Polarised);Radio Waves;Single Polarised;26GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 26GHz (Single Polarised);Radio Waves;Single Polarised;26GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 26GHz (Single Polarised);Radio Waves;Single Polarised;26GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 26GHz (Single Polarised);Radio Waves;Single Polarised;26GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 26GHz (Single Polarised);Radio Waves;Single Polarised;26GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 2ft 26GHz (Dual Polarised);Radio Waves;Dual Polarised;26GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 26GHz (Dual Polarised);Radio Waves;Dual Polarised;26GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 26GHz (Dual Polarised);Radio Waves;Dual Polarised;26GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 26GHz (Dual Polarised);Radio Waves;Dual Polarised;26GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 26GHz (Dual Polarised);Radio Waves;Dual Polarised;26GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 26GHz (Dual Polarised);Radio Waves;Dual Polarised;26GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 2ft 28GHz (Single Polarised);Radio Waves;Single Polarised;28GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 28GHz (Single Polarised);Radio Waves;Single Polarised;28GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 28GHz (Single Polarised);Radio Waves;Single Polarised;28GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 28GHz (Single Polarised);Radio Waves;Single Polarised;28GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 28GHz (Single Polarised);Radio Waves;Single Polarised;28GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 28GHz (Single Polarised);Radio Waves;Single Polarised;28GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 2ft 28GHz (Dual Polarised);Radio Waves;Dual Polarised;28GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 28GHz (Dual Polarised);Radio Waves;Dual Polarised;28GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 28GHz (Dual Polarised);Radio Waves;Dual Polarised;28GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 28GHz (Dual Polarised);Radio Waves;Dual Polarised;28GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 28GHz (Dual Polarised);Radio Waves;Dual Polarised;28GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 28GHz (Dual Polarised);Radio Waves;Dual Polarised;28GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 2ft 38GHz (Single Polarised);Radio Waves;Single Polarised;38GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 38GHz (Single Polarised);Radio Waves;Single Polarised;38GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 38GHz (Single Polarised);Radio Waves;Single Polarised;38GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 38GHz (Single Polarised);Radio Waves;Single Polarised;38GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 38GHz (Single Polarised);Radio Waves;Single Polarised;38GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 38GHz (Single Polarised);Radio Waves;Single Polarised;38GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 2ft 38GHz (Dual Polarised);Radio Waves;Dual Polarised;38GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 38GHz (Dual Polarised);Radio Waves;Dual Polarised;38GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 38GHz (Dual Polarised);Radio Waves;Dual Polarised;38GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 38GHz (Dual Polarised);Radio Waves;Dual Polarised;38GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 38GHz (Dual Polarised);Radio Waves;Dual Polarised;38GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 38GHz (Dual Polarised);Radio Waves;Dual Polarised;38GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Andrews 2ft 7GHz (Single Polarised);Andrews;Single Polarised;7GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Andrews 3ft 7GHz (Single Polarised);Andrews;Single Polarised;7GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Andrews 4ft 7GHz (Single Polarised);Andrews;Single Polarised;7GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Andrews 6ft 7GHz (Single Polarised);Andrews;Single Polarised;7GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Andrews 8ft 7GHz (Single Polarised);Andrews;Single Polarised;7GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Andrews 10ft 7GHz (Single Polarised);Andrews;Single Polarised;7GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Andrews 2ft 7GHz (Dual Polarised);Andrews;Dual Polarised;7GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Andrews 3ft 7GHz (Dual Polarised);Andrews;Dual Polarised;7GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Andrews 4ft 7GHz (Dual Polarised);Andrews;Dual Polarised;7GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Andrews 6ft 7GHz (Dual Polarised);Andrews;Dual Polarised;7GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Andrews 8ft 7GHz (Dual Polarised);Andrews;Dual Polarised;7GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Andrews 10ft 7GHz (Dual Polarised);Andrews;Dual Polarised;7GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Andrews 2ft 8GHz (Single Polarised);Andrews;Single Polarised;8GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Andrews 3ft 8GHz (Single Polarised);Andrews;Single Polarised;8GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Andrews 4ft 8GHz (Single Polarised);Andrews;Single Polarised;8GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Andrews 6ft 8GHz (Single Polarised);Andrews;Single Polarised;8GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Andrews 8ft 8GHz (Single Polarised);Andrews;Single Polarised;8GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Andrews 10ft 8GHz (Single Polarised);Andrews;Single Polarised;8GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Andrews 2ft 8GHz (Dual Polarised);Andrews;Dual Polarised;8GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Andrews 3ft 8GHz (Dual Polarised);Andrews;Dual Polarised;8GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Andrews 4ft 8GHz (Dual Polarised);Andrews;Dual Polarised;8GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Andrews 6ft 8GHz (Dual Polarised);Andrews;Dual Polarised;8GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Andrews 8ft 8GHz (Dual Polarised);Andrews;Dual Polarised;8GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Andrews 10ft 8GHz (Dual Polarised);Andrews;Dual Polarised;8GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Andrews 2ft 11GHz (Single Polarised);Andrews;Single Polarised;11GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Andrews 3ft 11GHz (Single Polarised);Andrews;Single Polarised;11GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Andrews 4ft 11GHz (Single Polarised);Andrews;Single Polarised;11GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Andrews 6ft 11GHz (Single Polarised);Andrews;Single Polarised;11GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Andrews 8ft 11GHz (Single Polarised);Andrews;Single Polarised;11GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Andrews 10ft 11GHz (Single Polarised);Andrews;Single Polarised;11GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Andrews 2ft 11GHz (Dual Polarised);Andrews;Dual Polarised;11GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Andrews 3ft 11GHz (Dual Polarised);Andrews;Dual Polarised;11GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Andrews 4ft 11GHz (Dual Polarised);Andrews;Dual Polarised;11GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Andrews 6ft 11GHz (Dual Polarised);Andrews;Dual Polarised;11GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Andrews 8ft 11GHz (Dual Polarised);Andrews;Dual Polarised;11GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Andrews 10ft 11GHz (Dual Polarised);Andrews;Dual Polarised;11GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Andrews 2ft 13GHz (Single Polarised);Andrews;Single Polarised;13GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Andrews 3ft 13GHz (Single Polarised);Andrews;Single Polarised;13GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Andrews 4ft 13GHz (Single Polarised);Andrews;Single Polarised;13GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Andrews 6ft 13GHz (Single Polarised);Andrews;Single Polarised;13GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Andrews 8ft 13GHz (Single Polarised);Andrews;Single Polarised;13GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Andrews 10ft 13GHz (Single Polarised);Andrews;Single Polarised;13GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Andrews 2ft 13GHz (Dual Polarised);Andrews;Dual Polarised;13GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Andrews 3ft 13GHz (Dual Polarised);Andrews;Dual Polarised;13GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Andrews 4ft 13GHz (Dual Polarised);Andrews;Dual Polarised;13GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Andrews 6ft 13GHz (Dual Polarised);Andrews;Dual Polarised;13GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Andrews 8ft 13GHz (Dual Polarised);Andrews;Dual Polarised;13GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Andrews 10ft 13GHz (Dual Polarised);Andrews;Dual Polarised;13GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Andrews 2ft 15GHz (Single Polarised);Andrews;Single Polarised;15GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Andrews 3ft 15GHz (Single Polarised);Andrews;Single Polarised;15GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Andrews 4ft 15GHz (Single Polarised);Andrews;Single Polarised;15GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Andrews 6ft 15GHz (Single Polarised);Andrews;Single Polarised;15GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Andrews 8ft 15GHz (Single Polarised);Andrews;Single Polarised;15GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Andrews 10ft 15GHz (Single Polarised);Andrews;Single Polarised;15GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Andrews 2ft 15GHz (Dual Polarised);Andrews;Dual Polarised;15GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Andrews 3ft 15GHz (Dual Polarised);Andrews;Dual Polarised;15GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Andrews 4ft 15GHz (Dual Polarised);Andrews;Dual Polarised;15GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Andrews 6ft 15GHz (Dual Polarised);Andrews;Dual Polarised;15GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Andrews 8ft 15GHz (Dual Polarised);Andrews;Dual Polarised;15GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Andrews 10ft 15GHz (Dual Polarised);Andrews;Dual Polarised;15GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Andrews 2ft 18GHz (Single Polarised);Andrews;Single Polarised;18GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Andrews 3ft 18GHz (Single Polarised);Andrews;Single Polarised;18GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Andrews 4ft 18GHz (Single Polarised);Andrews;Single Polarised;18GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Andrews 6ft 18GHz (Single Polarised);Andrews;Single Polarised;18GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Andrews 8ft 18GHz (Single Polarised);Andrews;Single Polarised;18GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Andrews 10ft 18GHz (Single Polarised);Andrews;Single Polarised;18GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Andrews 2ft 18GHz (Dual Polarised);Andrews;Dual Polarised;18GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Andrews 3ft 18GHz (Dual Polarised);Andrews;Dual Polarised;18GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Andrews 4ft 18GHz (Dual Polarised);Andrews;Dual Polarised;18GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Andrews 6ft 18GHz (Dual Polarised);Andrews;Dual Polarised;18GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Andrews 8ft 18GHz (Dual Polarised);Andrews;Dual Polarised;18GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Andrews 10ft 18GHz (Dual Polarised);Andrews;Dual Polarised;18GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Andrews 2ft 23GHz (Single Polarised);Andrews;Single Polarised;23GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Andrews 3ft 23GHz (Single Polarised);Andrews;Single Polarised;23GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Andrews 4ft 23GHz (Single Polarised);Andrews;Single Polarised;23GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Andrews 6ft 23GHz (Single Polarised);Andrews;Single Polarised;23GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Andrews 8ft 23GHz (Single Polarised);Andrews;Single Polarised;23GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Andrews 10ft 23GHz (Single Polarised);Andrews;Single Polarised;23GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Andrews 2ft 23GHz (Dual Polarised);Andrews;Dual Polarised;23GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Andrews 3ft 23GHz (Dual Polarised);Andrews;Dual Polarised;23GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Andrews 4ft 23GHz (Dual Polarised);Andrews;Dual Polarised;23GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Andrews 6ft 23GHz (Dual Polarised);Andrews;Dual Polarised;23GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Andrews 8ft 23GHz (Dual Polarised);Andrews;Dual Polarised;23GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Andrews 10ft 23GHz (Dual Polarised);Andrews;Dual Polarised;23GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Andrews 2ft 26GHz (Single Polarised);Andrews;Single Polarised;26GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Andrews 3ft 26GHz (Single Polarised);Andrews;Single Polarised;26GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Andrews 4ft 26GHz (Single Polarised);Andrews;Single Polarised;26GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Andrews 6ft 26GHz (Single Polarised);Andrews;Single Polarised;26GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Andrews 8ft 26GHz (Single Polarised);Andrews;Single Polarised;26GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Andrews 10ft 26GHz (Single Polarised);Andrews;Single Polarised;26GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Andrews 2ft 26GHz (Dual Polarised);Andrews;Dual Polarised;26GHz;2ft;;Item;mea/is/cops/Lists/Antennas
